City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Vila Velha,BR,73.94,-20.3297,-40.2925,Hotel Prainha
1,El Llano,MX,74.43,20.05,-99.3,Hotel Reco Inn
2,Atlantic Beach,US,73.62,30.3344,-81.3987,One Ocean Resort & Spa
4,Hermanus,ZA,71.8,-34.4187,19.2345,Aloe guest house
5,Rikitea,PF,74.26,-23.1203,-134.9692,Chez Bianca & Benoit
13,Cape Town,ZA,75.61,-33.9258,18.4232,Townhouse Hotel
18,Ca Mau,VN,72.72,9.1769,105.15,Khách sạn Song Ngọc
19,Vaini,TO,80.76,-21.2,-175.2,Keleti International Resort
38,Tomatlan,MX,78.31,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
40,Labuan,MY,77.36,5.2767,115.2417,Labuan Avenue Hotel
45,Touros,BR,78.87,-5.1989,-35.4608,Pousada Atlântico
51,Kapaa,US,80.92,22.0752,-159.319,Pono Kai Resort
55,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
60,Puerto Ayora,EC,78.76,-0.7393,-90.3518,Hostal La Mirada De Solitario George
61,Hithadhoo,MV,80.96,-0.6,73.0833,Pebbles Inn
67,Mareeba,AU,84.49,-17.0,145.4333,The Gateway Hotel
72,Bengkulu,ID,74.57,-3.8004,102.2655,Dena Hotel
74,Jardim,BR,85.78,-21.4803,-56.1381,Hotel Uchôa
80,Ewa Beach,US,83.57,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
81,Zamora,EC,78.04,-4.0692,-78.9567,Hotel Gomar
86,Sao Felix Do Xingu,BR,76.89,-6.6447,-51.995,Hotel Terraço
91,Atuona,PF,78.28,-9.8,-139.0333,Pearl Resort
96,Isangel,VU,82.51,-19.55,169.2667,Tanna Lodge
97,Cidreira,BR,72.14,-30.1811,-50.2056,Hotel Castelo
101,Kapit,MY,73.06,2.0167,112.9333,Haip
105,Talara,PE,77.76,-4.5772,-81.2719,Hospedaje El Aypate
107,Cayenne,GF,78.84,4.9333,-52.3333,Central Hôtel
108,Kavieng,PG,81.36,-2.5744,150.7967,Kavieng Hotel
111,Hilo,US,81.28,19.7297,-155.09,Dolphin Bay Hotel
113,Mahebourg,MU,75.49,-20.4081,57.7,Grand Bel Air
114,Lorengau,PG,78.21,-2.0226,147.2712,Seeadler Bay Hotel
