City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Vila Velha,BR,-20.3297,-40.2925,73.94,77,75,4.61,broken clouds
1,El Llano,MX,20.05,-99.3,74.43,18,5,5.86,clear sky
2,Atlantic Beach,US,30.3344,-81.3987,73.62,87,40,13.8,scattered clouds
3,Akureyri,IS,65.6835,-18.0878,6.73,92,20,2.3,few clouds
4,Hermanus,ZA,-34.4187,19.2345,71.8,88,94,6.64,light rain
5,Rikitea,PF,-23.1203,-134.9692,74.26,76,91,9.08,overcast clouds
6,Bluff,NZ,-46.6,168.3333,63.81,81,98,6.44,moderate rain
7,Las Palmas,ES,28.4204,-14.0131,63.39,68,40,4.61,scattered clouds
8,Waipawa,NZ,-41.4122,175.5153,70.56,70,100,7.81,moderate rain
9,Sitka,US,57.0531,-135.33,42.69,93,100,10.36,mist
10,Barrow,US,71.2906,-156.7887,10.42,85,100,12.66,light snow
11,Ushuaia,AR,-54.8,-68.3,55.06,54,40,19.57,light rain
12,Clarence Town,AU,-32.5833,151.7833,59.99,68,91,5.97,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,75.61,75,0,13.8,moderate rain
14,Castro,BR,-24.7911,-50.0119,62.49,69,2,1.14,clear sky
15,Santa Ana,US,33.7456,-117.8678,65.57,52,75,5.75,broken clouds
16,Chanika,TZ,-5.4167,38.0167,68.83,92,74,2.8,broken clouds
17,Karpathos,GR,35.507,27.2132,66.16,94,14,10.36,few clouds
18,Ca Mau,VN,9.1769,105.15,72.72,88,70,3.83,broken clouds
19,Vaini,TO,-21.2,-175.2,80.76,65,40,11.5,moderate rain
20,Luena,AO,-11.7833,19.9167,59.77,97,76,4.38,light rain
21,Norman Wells,CA,65.282,-126.8329,-5.76,84,100,2.3,light snow
22,Ribeira Grande,PT,38.5167,-28.7,60.78,82,100,17.0,overcast clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,62.62,72,40,16.11,scattered clouds
24,Kaitangata,NZ,-46.2817,169.8464,64.53,74,97,4.45,moderate rain
25,Lebork,PL,54.5392,17.7501,23.47,91,12,5.99,few clouds
26,Nikolskoye,RU,59.7035,30.7861,17.49,98,100,2.55,overcast clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,84,20,6.91,few clouds
28,Svetlogorsk,BY,52.6333,29.7333,25.09,93,100,6.82,overcast clouds
29,Lompoc,US,34.6391,-120.4579,61.02,75,0,6.91,clear sky
30,New Norfolk,AU,-42.7826,147.0587,56.91,63,95,1.99,overcast clouds
31,Angoram,PG,-4.0625,144.0661,74.77,99,100,0.94,overcast clouds
32,Yellowknife,CA,62.456,-114.3525,-5.28,84,100,3.44,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,55.51,76,75,9.22,light rain
34,Alice Springs,AU,-23.7,133.8833,69.35,23,100,14.97,overcast clouds
35,San Patricio,US,28.017,-97.5169,71.55,44,1,8.75,clear sky
36,Narsaq,GL,60.9167,-46.05,12.42,73,58,6.93,broken clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,40,13.8,scattered clouds
38,Tomatlan,MX,19.9333,-105.25,78.31,51,19,5.35,few clouds
39,Coquimbo,CL,-29.9533,-71.3436,65.93,77,0,10.36,clear sky
40,Labuan,MY,5.2767,115.2417,77.36,94,40,3.44,scattered clouds
41,Guerrero Negro,MX,27.9769,-114.0611,64.71,30,44,9.15,scattered clouds
42,Port Alfred,ZA,-33.5906,26.891,70.18,96,17,2.98,few clouds
43,Road Town,VG,18.4167,-64.6167,78.89,89,40,5.75,scattered clouds
44,Chokurdakh,RU,70.6333,147.9167,-41.15,100,57,1.77,broken clouds
45,Touros,BR,-5.1989,-35.4608,78.87,79,100,14.07,overcast clouds
46,Hasaki,JP,35.7333,140.8333,34.2,43,4,4.65,clear sky
47,Albany,US,42.6001,-73.9662,37.38,80,100,5.01,snow
48,Paamiut,GL,61.994,-49.6678,21.88,69,97,7.2,overcast clouds
49,Tachov,CZ,49.7953,12.6337,27.95,86,100,3.0,overcast clouds
50,Severo-Kurilsk,RU,50.6789,156.125,27.3,69,89,16.22,overcast clouds
51,Kapaa,US,22.0752,-159.319,80.92,73,0,13.8,clear sky
52,Aberdeen,GB,57.1437,-2.0981,27.54,91,67,1.14,broken clouds
53,Wanxian,CN,30.8039,108.3897,48.27,62,92,2.66,overcast clouds
54,Brae,GB,60.3964,-1.353,36.79,66,100,12.57,overcast clouds
55,Avarua,CK,-21.2078,-159.775,78.85,94,75,18.41,moderate rain
56,Terracina,IT,41.2863,13.2217,63.05,99,100,8.01,light rain
57,Ostrovnoy,RU,68.0531,39.5131,14.2,88,60,24.94,broken clouds
58,Marawi,PH,7.9986,124.2928,69.94,84,100,1.81,overcast clouds
59,Hobart,AU,-42.8794,147.3294,57.27,89,75,14.97,light intensity drizzle
60,Puerto Ayora,EC,-0.7393,-90.3518,78.76,92,86,5.01,overcast clouds
61,Hithadhoo,MV,-0.6,73.0833,80.96,72,58,11.03,broken clouds
